,Word,Frequency
61965,& N g @ d,14
1801,& N g r I @ r *,26
97,& b n O: m & l I t I z,15
78964,& d,377
87349,& d @ m b r e I t I d,1
1025,& g r E s I v n @ s,35
3300,& k s I z,26
502,& k t I d,92
1520,& m b @ r *,62
87400,& m p j U t e I t I d,5
1747,& n E k d @ U t s,47
70699,& n E k s t,4
87408,& n I m e I t I d,18
1966,"& n T r @ U p @ m O: f I z m ,",6
1714,& n s @ s t @ r *,104
62043,& r I i: z,1
2625,& s E n d @ n s I,18
2633,& s E n t,147
2744,& s E n t I d,2
3200,& v I n j u:,414
17063,3: D z,13
18442,3: s,1
83830,@ U v @ & m f @ s a I z,1
89892,@ U v @ & m f @ s a I z d,1
66882,@ U v @ & m f @ s a I z d,1
83836,@ U v @ f l @ U,3
66873,@ U v @ k r a U d,1
37469,@ U v @ l @ U d z,1
37482,"@ U v @ m & n t l ,",4
75442,@ U v @ p e I d,3
83857,@ U v @ p l e I,1
83858,@ U v @ p l e I d,1
83883,@ U v @ s t e I d,1
75486,@ U v @ w 3: k,1
70458,@ b e I t,2
36352,@ b z 3: v I N,173
70549,@ d & p t I d,40
78996,@ d O: n,6
708,@ d O p t I v,23
618,@ d Z O I n,1
61840,@ d m I n I s t @ d,22
79001,@ d v A: n s t,50
79011,@ f E k t,129
79019,@ f l I k t,5
1070,@ g r i: m @ n t s,201
278,@ k s E n t S U e I t I d,7
78955,@ k w a I @ d,116
1246,@ l 3: t n @ s,40
1413,@ l u: f n @ s,19
61982,@ n V l d,1
79156,"@ p O: S n , d",1
62056,@ r E s t I d,92
2530,@ r E s t I d,92
2540,@ r a I v I N,311
2513,@ r e I n d,2
70803,@ s 3: t,41
2785,@ s I m @ l e I t I N,9
2805,@ s O: t I d,3
2727,@ s O l t I N,22
62082,@ s O l t I d,11
79237,@ s t O n I S t,43
70818,@ s u: m,189
62128,@ t E s t I d,3
87321,@ t S i: v d,208
3237,@ v O I d I d,84
79279,@ v e I l d,2
79298,@ w O: d I d,39
79292,@ w e I t,27
37104,A:,23029
2323,A: b I t r @ r I l I,31
2398,A: d j w @ s l I,2
2493,A: m p I t s,56
18176,A: n t U r A: Z,51
55307,D E @ z,303
1122,E @ b V s,16
25197,E @ l u: m z,10
25193,E @ r *,121
17233,E d I t O: r I @ l I,5
17302,E f @ t l @ s l I,3
18966,"E g z 3: S n , z",42
64646,E g z O: t,1
19375,E g z V l t I d,1
18974,E g z e I l I N,7
19366,"E g z u: b r n , t l I",4
73257,E k s @ s a I z,64
18828,E k s E p t,802
18928,E k s I k j u: t I d,33
88737,E k s a I t I d,26
18813,E k s i: d I d,17
81696,E k s p E k t,508
64661,E k s p E k t I d,493
19209,E k s p O s t j U l e I t I N,3
64693,E k s p V n Z,1
73330,E k s t r @ d a I t I d,3
17190,E k w @ d O: r *,109
64326,E l @ f @ n t,113
64329,E l I s I t,8
72947,E l b @ U d,2
17411,E l d @ r *,43
31997,E m,1341
17604,E m b & r @ s I z,4
17651,E m b r e I s I z,40
64343,E m e I s j e I t I d,5
81420,E m p l O I d,121
18048,"E n @ U b l ,",1
64474,E n S r a I n,1
64475,E n S r a I n d,7
18144,E n T j u: z I z,1
81491,E n d Z O I d,180
81464,E n d a U,3
64447,E n h & n s,23
64416,E n k V m b @ d,3
73032,E n k V m p @ s,7
73038,E n k r @ U t S,2
64481,E n s u: d,8
81525,"E n t & N g l ,",1
18120,E n t @ p r a I z,558
17819,E n t S A: n t I N,58
36093,E n t T,5
73122,E n t a I s t,3
64498,"E n t a I t l ,",3
73109,E n t e I l,15
81540,E n t r A: n s t,9
73132,E n t r E n S t,1
88680,E n t r V s t I d,10
